;vars1;vars2;cramer_corr;actuacion;nivel;Identificador_pregunta
0;ttorg;ttrel;0,605057;Relaciones;todos 2;ttrel
1;ttent;ttrel;0,475846;Relaciones;todos 2;ttrel
2;trit;ttrel;0,456297;Relaciones;todos 2;ttrel
3;nnorg;ttrel;0,451495;Relaciones;todos 2;ttrel
4;ttcon;ttrel;0,450272;Relaciones;todos 2;ttrel
5;ttemp;ttrel;0,423839;Relaciones;todos 2;ttrel
6;temp;ttrel;0,375287;Relaciones;todos 2;ttrel
7;tsup;ttrel;0,374012;Relaciones;todos 2;ttrel
8;ttlid;ttrel;0,366632;Relaciones;todos 2;ttrel
9;nnrit;ttrel;0,355084;Relaciones;todos 2;ttrel
10;ttom;ttrel;0,343395;Relaciones;todos 2;ttrel
11;nnlid;ttrel;0,338242;Relaciones;todos 2;ttrel
12;nnemp;ttrel;0,322374;Relaciones;todos 2;ttrel
13;tlid;ttrel;0,317975;Relaciones;todos 2;ttrel
14;ttcox;ttrel;0,314053;Relaciones;todos 2;ttrel
15;tada;ttrel;0,299791;Relaciones;todos 2;ttrel
16;nncom;ttrel;0,296437;Relaciones;todos 2;ttrel
17;torg;ttrel;0,295649;Relaciones;todos 2;ttrel
18;nnpro;ttrel;0,289266;Relaciones;todos 2;ttrel
19;ttpro;ttrel;0,286261;Relaciones;todos 2;ttrel
20;ttret;ttrel;0,281494;Relaciones;todos 2;ttrel
21;nncox;ttrel;0,279296;Relaciones;todos 2;ttrel
22;nlid;ttrel;0,279117;Relaciones;todos 2;ttrel
23;nnpay;ttrel;0,277893;Relaciones;todos 2;ttrel
24;nsup;ttrel;0,270953;Relaciones;todos 2;ttrel
25;nret;ttrel;0,268478;Relaciones;todos 2;ttrel
26;tcon;ttrel;0,261821;Relaciones;todos 2;ttrel
27;nncon;ttrel;0,259465;Relaciones;todos 2;ttrel
28;tpay;ttrel;0,258581;Relaciones;todos 2;ttrel
29;nent;ttrel;0,256889;Relaciones;todos 2;ttrel
30;tcox;ttrel;0,256581;Relaciones;todos 2;ttrel
31;tcom;ttrel;0,256313;Relaciones;todos 2;ttrel
32;nrel;ttrel;0,251401;Relaciones;todos 2;ttrel
33;norg;ttrel;0,247384;Relaciones;todos 2;ttrel
34;nrec;ttrel;0,241555;Relaciones;todos 2;ttrel
35;tpro;ttrel;0,235861;Relaciones;todos 2;ttrel
36;tequ;ttrel;0,223483;Relaciones;todos 2;ttrel
37;ntom;ttrel;0,22109;Relaciones;todos 2;ttrel
38;tcov;ttrel;0,210333;Relaciones;todos 2;ttrel
39;ninn;ttrel;0,210274;Relaciones;todos 2;ttrel
40;tret;ttrel;0,205088;Relaciones;todos 2;ttrel
41;tent;ttrel;0,201024;Relaciones;todos 2;ttrel
42;trel;ttrel;0,200961;Relaciones;todos 2;ttrel
43;ttrit;ttrel;0,198786;Relaciones;todos 2;ttrel
44;tinn;ttrel;0,189882;Relaciones;todos 2;ttrel
45;yada;ttrel;0,1876;Relaciones;todos 2;ttrel
46;nrit;ttrel;0,187459;Relaciones;todos 2;ttrel
47;ttpay;ttrel;0,178424;Relaciones;todos 2;ttrel
48;nnada;ttrel;0,17788;Relaciones;todos 2;ttrel
49;ncon;ttrel;0,17544;Relaciones;todos 2;ttrel
50;ttcom;ttrel;0,161746;Relaciones;todos 2;ttrel
51;ypro;ttrel;0,16067;Relaciones;todos 2;ttrel
52;nnequ;ttrel;0,15799;Relaciones;todos 2;ttrel
53;npro;ttrel;0,157724;Relaciones;todos 2;ttrel
54;ttequ;ttrel;0,15514;Relaciones;todos 2;ttrel
55;nnsup;ttrel;0,153187;Relaciones;todos 2;ttrel
56;nemp;ttrel;0,152362;Relaciones;todos 2;ttrel
57;nncov;ttrel;0,151916;Relaciones;todos 2;ttrel
58;nequ;ttrel;0,149777;Relaciones;todos 2;ttrel
59;ncom;ttrel;0,14362;Relaciones;todos 2;ttrel
60;ncov;ttrel;0,141246;Relaciones;todos 2;ttrel
61;trec;ttrel;0,138091;Relaciones;todos 2;ttrel
62;edad;ttrel;0,135404;Relaciones;todos 2;ttrel
63;ttrec;ttrel;0,131863;Relaciones;todos 2;ttrel
64;nnret;ttrel;0,129061;Relaciones;todos 2;ttrel
65;nnrec;ttrel;0,127638;Relaciones;todos 2;ttrel
66;ttinn;ttrel;0,125985;Relaciones;todos 2;ttrel
67;area;ttrel;0,117823;Relaciones;todos 2;ttrel
68;nnent;ttrel;0,115791;Relaciones;todos 2;ttrel
69;npay;ttrel;0,109253;Relaciones;todos 2;ttrel
70;ycox;ttrel;0,102573;Relaciones;todos 2;ttrel
71;estado civil;ttrel;0,10158;Relaciones;todos 2;ttrel
72;ncox;ttrel;0,096466;Relaciones;todos 2;ttrel
73;yrel;ttrel;0,096367;Relaciones;todos 2;ttrel
74;yemp;ttrel;0,095296;Relaciones;todos 2;ttrel
75;ycom;ttrel;0,092207;Relaciones;todos 2;ttrel
76;tttom;ttrel;0,087799;Relaciones;todos 2;ttrel
77;antigüedad en la organización;ttrel;0,081836;Relaciones;todos 2;ttrel
78;nada;ttrel;0,076897;Relaciones;todos 2;ttrel
79;ylid;ttrel;0,069395;Relaciones;todos 2;ttrel
80;hijos;ttrel;0,066515;Relaciones;todos 2;ttrel
81;nninn;ttrel;0,057348;Relaciones;todos 2;ttrel
82;yret;ttrel;0,052312;Relaciones;todos 2;ttrel
83;educacion;ttrel;0,047725;Relaciones;todos 2;ttrel
84;nntom;ttrel;0,043157;Relaciones;todos 2;ttrel
85;yrec;ttrel;0,0;Relaciones;todos 2;ttrel
86;ypay;ttrel;0,0;Relaciones;todos 2;ttrel
87;ttcov;ttrel;0,0;Relaciones;todos 2;ttrel
88;yorg;ttrel;0,0;Relaciones;todos 2;ttrel
89;ttada;ttrel;0,0;Relaciones;todos 2;ttrel
90;yequ;ttrel;0,0;Relaciones;todos 2;ttrel
91;antigüedad en el cargo;ttrel;0,0;Relaciones;todos 2;ttrel
92;ycon;ttrel;0,0;Relaciones;todos 2;ttrel
93;yinn;ttrel;0,0;Relaciones;todos 2;ttrel
94;ytom;ttrel;0,0;Relaciones;todos 2;ttrel
95;nnrel;ttrel;0,0;Relaciones;todos 2;ttrel
96;ysup;ttrel;0,0;Relaciones;todos 2;ttrel
97;genero;ttrel;0,0;Relaciones;todos 2;ttrel
98;yrit;ttrel;0,0;Relaciones;todos 2;ttrel
99;yent;ttrel;0,0;Relaciones;todos 2;ttrel
100;nivel del cargo;ttrel;0,0;Relaciones;todos 2;ttrel
101;ycov;ttrel;0,0;Relaciones;todos 2;ttrel
102;tcom;tcov;0,556584;Conversaciones;todos 1;tcov
103;trit;tcov;0,372409;Conversaciones;todos 1;tcov
104;nncom;tcov;0,352897;Conversaciones;todos 1;tcov
105;nnrec;tcov;0,349821;Conversaciones;todos 1;tcov
106;tequ;tcov;0,344533;Conversaciones;todos 1;tcov
107;tpay;tcov;0,337536;Conversaciones;todos 1;tcov
108;tcon;tcov;0,320535;Conversaciones;todos 1;tcov
109;nsup;tcov;0,312497;Conversaciones;todos 1;tcov
110;nnlid;tcov;0,311386;Conversaciones;todos 1;tcov
111;nnrit;tcov;0,301437;Conversaciones;todos 1;tcov
112;tpro;tcov;0,300222;Conversaciones;todos 1;tcov
113;nnequ;tcov;0,291942;Conversaciones;todos 1;tcov
114;tret;tcov;0,289696;Conversaciones;todos 1;tcov
115;nequ;tcov;0,279698;Conversaciones;todos 1;tcov
116;yrit;tcov;0,27722;Conversaciones;todos 1;tcov
117;nent;tcov;0,27712;Conversaciones;todos 1;tcov
118;nnemp;tcov;0,27568;Conversaciones;todos 1;tcov
119;tcox;tcov;0,268315;Conversaciones;todos 1;tcov
120;nrel;tcov;0,265486;Conversaciones;todos 1;tcov
121;norg;tcov;0,262083;Conversaciones;todos 1;tcov
122;nncox;tcov;0,252828;Conversaciones;todos 1;tcov
123;nlid;tcov;0,25178;Conversaciones;todos 1;tcov
124;npro;tcov;0,248433;Conversaciones;todos 1;tcov
125;trec;tcov;0,247411;Conversaciones;todos 1;tcov
126;nnpay;tcov;0,244692;Conversaciones;todos 1;tcov
127;ncox;tcov;0,2414;Conversaciones;todos 1;tcov
128;nnada;tcov;0,236352;Conversaciones;todos 1;tcov
129;nnpro;tcov;0,22991;Conversaciones;todos 1;tcov
130;ntom;tcov;0,227227;Conversaciones;todos 1;tcov
131;nemp;tcov;0,227202;Conversaciones;todos 1;tcov
132;nada;tcov;0,221754;Conversaciones;todos 1;tcov
133;nncon;tcov;0,220825;Conversaciones;todos 1;tcov
134;ninn;tcov;0,219182;Conversaciones;todos 1;tcov
135;ncom;tcov;0,216821;Conversaciones;todos 1;tcov
136;nrit;tcov;0,214866;Conversaciones;todos 1;tcov
137;nnret;tcov;0,214079;Conversaciones;todos 1;tcov
138;tlid;tcov;0,213796;Conversaciones;todos 1;tcov
139;yada;tcov;0,213161;Conversaciones;todos 1;tcov
140;nrec;tcov;0,212324;Conversaciones;todos 1;tcov
141;ycom;tcov;0,208198;Conversaciones;todos 1;tcov
142;ncov;tcov;0,206732;Conversaciones;todos 1;tcov
143;torg;tcov;0,201055;Conversaciones;todos 1;tcov
