actuacion;Identificador_pregunta;1;2;3;4;5;prom;sum;nivel
Conexion;y1;0,1079136690647482;0,4460431654676259;0,0;0,35251798561151076;0,09352517985611511;2,8776978417266186;139,0;yo
Equilibrio;y2;0,08633093525179857;0,4676258992805755;0,0;0,2949640287769784;0,1510791366906475;2,9568345323741005;139,0;yo
Proposito;y3;0,26618705035971224;0,17266187050359713;0,0;0,1223021582733813;0,43884892086330934;3,2949640287769784;139,0;yo
Orgullo (eNps);y4;0,07913669064748201;0,5323741007194245;0,0;0,1366906474820144;0,2517985611510791;2,949640287769784;139,0;yo
Pedir ayuda;y5;0,007194244604316547;0,6258992805755396;0,0;0,07194244604316546;0,2949640287769784;3,0215827338129495;139,0;yo
Contribucion;y6;0,26618705035971224;0,2302158273381295;0,0;0,18705035971223022;0,31654676258992803;3,0575539568345325;139,0;yo
Retroalimentacion;y7;0,2517985611510791;0,2589928057553957;0,0;0,1366906474820144;0,35251798561151076;3,079136690647482;139,0;yo
Reconocimiento;y8;0,1079136690647482;0,11510791366906475;0,0;0,1510791366906475;0,6258992805755396;4,071942446043166;139,0;yo
Liderazgo y trabajo en equipo;y10;0,14388489208633093;0,20863309352517986;0,0;0,4244604316546763;0,22302158273381295;3,3741007194244603;139,0;yo
Rituales;y11;0,03597122302158273;0,4892086330935252;0,0;0,1366906474820144;0,3381294964028777;3,2517985611510793;139,0;yo
Comunicacion;y12;0,1223021582733813;0,03597122302158273;0,0;0,41007194244604317;0,4316546762589928;3,9928057553956835;139,0;yo
Conversaciones;y14;0,04316546762589928;0,17985611510791366;0,0;0,6618705035971223;0,11510791366906475;3,6258992805755397;139,0;yo
Entorno saludable;y15;0,0;0,08633093525179857;0,0;0,6834532374100719;0,2302158273381295;4,057553956834532;139,0;yo
Innovacion;y17;0,2158273381294964;0,2014388489208633;0,0;0,48201438848920863;0,10071942446043165;3,050359712230216;139,0;yo
Adaptabilidad;y19;0,09352517985611511;0,02158273381294964;0,0;0,10071942446043165;0,7841726618705036;4,460431654676259;139,0;yo
Toma de decisiones;y20;0,2589928057553957;0,17985611510791366;0,0;0,07194244604316546;0,4892086330935252;3,352517985611511;139,0;yo
Empoderamiento;y22;0,050359712230215826;0,2302158273381295;0,0;0,37410071942446044;0,34532374100719426;3,7338129496402876;139,0;yo
Relaciones;y23;0,1079136690647482;0,15827338129496402;0,0;0,48201438848920863;0,2517985611510791;3,6115107913669067;139,0;yo
Superar metas;y26;0,31654676258992803;0,02877697841726619;0,0;0,02158273381294964;0,6330935251798561;3,6258992805755397;139,0;yo
Conexion;n27;0,014388489208633094;0,050359712230215826;0,39568345323741005;0,30935251798561153;0,2302158273381295;3,6906474820143886;139,0;nosotros 1
Equilibrio;n28;0,04316546762589928;0,16546762589928057;0,28776978417266186;0,2517985611510791;0,2517985611510791;3,5035971223021583;139,0;nosotros 1
Proposito;n29;0,22302158273381295;0,14388489208633093;0,381294964028777;0,1223021582733813;0,12949640287769784;2,79136690647482;139,0;nosotros 1
Orgullo (eNps);n30;0,11510791366906475;0,03597122302158273;0,2589928057553957;0,12949640287769784;0,460431654676259;3,7841726618705036;139,0;nosotros 1
Pedir ayuda;n31;0,09352517985611511;0,07913669064748201;0,2302158273381295;0,2517985611510791;0,34532374100719426;3,676258992805755;139,0;nosotros 1
Contribucion;n32;0,007194244604316547;0,04316546762589928;0,2302158273381295;0,33093525179856115;0,38848920863309355;4,0503597122302155;139,0;nosotros 1
Retroalimentacion;n33;0,11510791366906475;0,06474820143884892;0,2517985611510791;0,2589928057553957;0,30935251798561153;3,58273381294964;139,0;nosotros 1
Reconocimiento;n34;0,08633093525179857;0,09352517985611511;0,2949640287769784;0,2158273381294964;0,30935251798561153;3,568345323741007;139,0;nosotros 1
Liderazgo y trabajo en equipo;n36;0,05755395683453238;0,09352517985611511;0,2158273381294964;0,3237410071942446;0,30935251798561153;3,7338129496402876;139,0;nosotros 1
Rituales;n37;0,07913669064748201;0,09352517985611511;0,28776978417266186;0,2302158273381295;0,30935251798561153;3,597122302158273;139,0;nosotros 1
Comunicacion;n38;0,050359712230215826;0,03597122302158273;0,15827338129496402;0,2158273381294964;0,539568345323741;4,158273381294964;139,0;nosotros 1
Conversaciones;n40;0,02877697841726619;0,07194244604316546;0,18705035971223022;0,23741007194244604;0,4748201438848921;4,057553956834532;139,0;nosotros 1
Entorno saludable;n41;0,02158273381294964;0,02877697841726619;0,2158273381294964;0,3237410071942446;0,41007194244604317;4,071942446043166;139,0;nosotros 1
Innovacion;n43;0,07194244604316546;0,08633093525179857;0,2589928057553957;0,30935251798561153;0,2733812949640288;3,6258992805755397;139,0;nosotros 1
Adaptabilidad;n45;0,0;0,05755395683453238;0,28776978417266186;0,35251798561151076;0,302158273381295;3,8992805755395685;139,0;nosotros 1
Toma de decisiones;n46;0,07194244604316546;0,06474820143884892;0,1510791366906475;0,2517985611510791;0,460431654676259;3,964028776978417;139,0;nosotros 1
Empoderamiento;n48;0,05755395683453238;0,1366906474820144;0,2302158273381295;0,302158273381295;0,2733812949640288;3,597122302158273;139,0;nosotros 1
Relaciones;n49;0,0;0,04316546762589928;0,16546762589928057;0,23741007194244604;0,5539568345323741;4,302158273381295;139,0;nosotros 1
Superar metas;n52;0,08633093525179857;0,10071942446043165;0,33093525179856115;0,2446043165467626;0,23741007194244604;3,446043165467626;139,0;nosotros 1
Conexion;n53;0,050359712230215826;0,08633093525179857;0,26618705035971224;0,2805755395683453;0,31654676258992803;3,726618705035971;139,0;nosotros 2
Equilibrio;n54;0,04316546762589928;0,05755395683453238;0,14388489208633093;0,35251798561151076;0,4028776978417266;4,014388489208633;139,0;nosotros 2
Proposito;n55;0,1510791366906475;0,1079136690647482;0,28776978417266186;0,22302158273381295;0,2302158273381295;3,273381294964029;139,0;nosotros 2
Orgullo (eNps);n56;0,007194244604316547;0,0;0,09352517985611511;0,1366906474820144;0,762589928057554;4,64748201438849;139,0;nosotros 2
Pedir ayuda;n57;0,007194244604316547;0,02877697841726619;0,20863309352517986;0,4172661870503597;0,3381294964028777;4,0503597122302155;139,0;nosotros 2
Contribucion;n58;0,014388489208633094;0,02877697841726619;0,17266187050359713;0,37410071942446044;0,41007194244604317;4,136690647482014;139,0;nosotros 2
Retroalimentacion;n59;0,02877697841726619;0,09352517985611511;0,30935251798561153;0,3381294964028777;0,2302158273381295;3,647482014388489;139,0;nosotros 2
Reconocimiento;n60;0,014388489208633094;0,05755395683453238;0,2517985611510791;0,3381294964028777;0,3381294964028777;3,9280575539568345;139,0;nosotros 2
Liderazgo y trabajo en equipo;n62;0,050359712230215826;0,05755395683453238;0,22302158273381295;0,26618705035971224;0,4028776978417266;3,9136690647482015;139,0;nosotros 2
Rituales;n63;0,04316546762589928;0,1366906474820144;0,23741007194244604;0,2517985611510791;0,33093525179856115;3,6906474820143886;139,0;nosotros 2
Comunicacion;n64;0,02158273381294964;0,02877697841726619;0,2589928057553957;0,31654676258992803;0,37410071942446044;3,9928057553956835;139,0;nosotros 2
Conversaciones;n66;0,05755395683453238;0,18705035971223022;0,2446043165467626;0,1510791366906475;0,3597122302158273;3,568345323741007;139,0;nosotros 2
Entorno saludable;n67;0,34532374100719426;0,05755395683453238;0,20863309352517986;0,23741007194244604;0,1510791366906475;2,79136690647482;139,0;nosotros 2
Innovacion;n69;0,02158273381294964;0,03597122302158273;0,2158273381294964;0,08633093525179857;0,6402877697841727;4,287769784172662;139,0;nosotros 2
Adaptabilidad;n71;0,05755395683453238;0,1223021582733813;0,4028776978417266;0,34532374100719426;0,07194244604316546;3,2517985611510793;139,0;nosotros 2
Toma de decisiones;n72;0,02158273381294964;0,050359712230215826;0,2589928057553957;0,3597122302158273;0,30935251798561153;3,884892086330935;139,0;nosotros 2
Empoderamiento;n74;0,02877697841726619;0,09352517985611511;0,22302158273381295;0,26618705035971224;0,38848920863309355;3,8920863309352516;139,0;nosotros 2
Relaciones;n75;0,10071942446043165;0,014388489208633094;0,20863309352517986;0,17266187050359713;0,5035971223021583;3,964028776978417;139,0;nosotros 2
Superar metas;n78;0,0;0,007194244604316547;0,2302158273381295;0,4028776978417266;0,3597122302158273;4,115107913669065;139,0;nosotros 2
Conexion;t79;0,014388489208633094;0,02158273381294964;0,1223021582733813;0,3597122302158273;0,48201438848920863;4,273381294964029;139,0;todos 1
Equilibrio;t80;0,06474820143884892;0,11510791366906475;0,2805755395683453;0,2805755395683453;0,2589928057553957;3,553956834532374;139,0;todos 1
Proposito;t81;0,0;0,05755395683453238;0,18705035971223022;0,33093525179856115;0,4244604316546763;4,122302158273381;139,0;todos 1
Orgullo (eNps);t82;0,0;0,007194244604316547;0,07913669064748201;0,2158273381294964;0,697841726618705;4,60431654676259;139,0;todos 1
Pedir ayuda;t83;0,007194244604316547;0,014388489208633094;0,1366906474820144;0,3237410071942446;0,5179856115107914;4,330935251798561;139,0;todos 1
